name,address,contact,time,lat,lng,code,category
리얼헌팅 조인클럽,서울특별시 강남구 언주로87길 6,010-5932-3552,매일00:00~24:00,37.5017462,127.0403652,2,16
클럽매스,서울특별시 서초구 강남대로 415 지하,010-2788-0321,매일21:00~06:00,37.5017458,127.0337991,1,16
밤과음악사이강남점,서울특별시 서초구 강남대로 415 지하,02-594-2625,평일19:00~05:00,37.5004656,127.0236988,1,16
스타벅스 역삼역점,서울 강남구 테헤란로 145,02-758-8314,평일 08:00 - 20:00,37.5006707,127.0329847,2,21
스타벅스 역삼포스코점,서울 강남구 테헤란로 134 포스틸타워,02-758-8631 ,평일 08:00 - 20:00,37.4995523,127.0316491,2,21
커피니 역삼점,서울 강남구 테헤란로 212,02-561-3347,평일 07:00 - 17:00,37.5012428,127.0373972,2,21
클로리스 티 앤 커피,서울 강남구 테헤란로 152,02-553-7523,평일 08:00 - 23:00,37.4999269,127.0343639,2,21
할리스커피 강남역점,서울 강남구 강남대로 402,02-555-0890,매일 00:00 - 24:00,37.498733,127.025619,2,21
KFC 역삼역,서울 강남구 논현로 509,02-569-2515,매일 10:00 - 23:00,37.5018927,127.0338851,2,22
롯데리아 역삼점,서울 강남구 테헤란로 116,02-3453-4054,매일 00:00 - 24:00,37.498443,127.0283291,0,22
버거킹 강남진솔점,서울 강남구 강남대로 368,02-555-0236,매일 00:00 - 24:00,37.4956916,127.0270596,0,22
맥도날드 강남2호점,서울 강남구 테헤란로 107,070-7017-6865,매일 08:00 - 24:00,37.5046302,127.0296585,2,22
바스버거 역삼점,서울 강남구 테헤란로26길 10,02-568-6654,평일 11:00 - 23:30,37.4995975,127.0336386,2,22
소풍분식,서울 강남구 테헤란로44길 7,02-556-8081,매일 06:30 - 21:30,37.5023634,127.0426985,2,23
양자강,서울 강남구 테헤란로34길 7,02-566-8116,매일 09:30 - 21:30,37.5010846,127.0381162,2,23
순남시래기 역삼점,서울 강남구 테헤란로34길 5,02-508-0887,평일 11:00 - 01:00,37.5012191,127.0380376,1,23
한솥도시락 르네상스호텔사거리점,서울 강남구 언주로 427,02-501-1144,평일 08:00 - 21:00,37.5013456,127.0405151,2,23
명동 칼국수,서울 강남구 역삼로37길 3,02-552-5592,평일 10:00 - 20:00,37.4980712,127.0408566,2,23
코엑스 야시장,서울 강남구 영동대로 513 코엑스,02-6000-0114,매일 18:00 - 23:00,37.5123726,127.0566875,2,24
반포 밤도깨비야시장,서울 서초구 신반포로11길 40,,금토 18:00 - 23:00,37.5076669,126.9905148,2,24
인도야시장,서울특별시 강남구 역삼1동 817-16,02-553-4568,매일 11:30 - 22:30,37.5000653,127.0258528,2,24
강남야시장,서울특별시 강남구 역삼동 827-3,02-6402-3335,매일 18:00 - 03:00,37.4966909,127.0283834,1,24
동경야시장,서울특별시 서초구 서초동 1308-10,02-533-2958,매일 16:00 - 08:00,37.500956,127.022903,1,24
더블린,서울 강남구 강남대로 442,02-561-3281,매일 13:00 - 02:00,37.5021078,127.0239749,1,31
더치맥앤펍 강남본점,서울 강남구 테헤란로4길 6,02-556-1222,평일 17:00 - 02:00,37.49772,127.0271908,1,31
더부스 강남2호점,서울 강남구 강남대로98길 12-4,1544-4723,평일 17:00 - 01:00,37.5004628,127.0255434,1,31
room187,서울 강남구 강남대로98길 12-3,070-7771-5525,평일 16:30 - 24:00,37.5005235,127.0256976,2,31
크래프트한스 강남2호직영점,서울 강남구 강남대로96길 12,02-562-3342,평일 13:00 - 01:00,37.4997005,127.0258711,1,31
봉구비어 강남역2호점,서울 강남구 봉은사로18길 90,02-508-7707,매일 15:00 - 01:00,37.5008157,127.0254993,1,32
비어호프,서울 강남구 강남대로84길 16,02-501-2726,평일 11:30 - 02:00,37.4966521,127.0278241,1,32
텀블러비어,서울 강남구 테헤란로20길 15,02-538-6665,매일 11:30 - 02:00,37.4987083,127.0325576,1,32
제이제이비어,서울 강남구 논현로94길 28,02-565-5390,매일 16:00 - 06:00,37.5027256,127.0363682,1,32
브롱스 강남점,서울 강남구 강남대로94길 15,02-566-7871,매일 17:00 - 03:00,37.4996118,127.0263733,1,32
29PUB2호점,서울 강남구 테헤란로1길 26,02-567-2902,평일 18:30 - 03:30,37.4999828,127.0254626,1,33
아지트,서울 강남구 논현로94길 25-7,02-555-0377,매일 16:00 - 02:00,37.503329,127.0357746,1,33
61224,서울 강남구 강남대로98길 12,02-6404-6022,매일 18:00 - 02:00,37.5005776,127.0254797,1,33
원가바,서울 강남구 강남대로94길 23,02-557-3226,매일 19:00 - 03:00,37.4997088,127.0269929,1,33
더미트,서울 강남구 봉은사로2길 19,02-557-1122,평일 18:00 - 02:00,37.5035422,127.0239585,1,33
츄라우미,서울 강남구 언주로93길 21,02-558-7771,평일 11:00 - 07:00,37.5032912,127.0381038,1,34
코다차야 강남점,서울 강남구 강남대로 468,02-3453-6666,매일 17:00 - 02:30,37.5041634,127.0229156,1,34
와타미 강남본점,서울 강남구 테헤란로1길 25,02-565-9198,평일 17:00 - 03:00,37.4999374,127.0251985,1,34
이자카야 나무,서울 강남구 선릉로 517,02-557-0348,매일 16:00 - 05:30,37.5056846,127.0459316,1,34
하루,서울 강남구 강남대로92길 31,02-539-2648,평일 16:30 - 02:00,37.4994182,127.0277058,1,34
강남차병원 응급실,서울 강남구 논현로 566,02-3468-3060,매일 00:00 - 24:00,37.5065713,127.0326113,0,411
재단법인베스티안재단베스티안서울병원 응급실,서울 강남구 도곡로 429,02-3287-3600,매일 00:00 - 24:00,37.4979928,127.0550846,0,411
연세대학교의과대학강남세브란스병원 응급실,서울 강남구 언주로 211,02-2019-3333,매일 00:00 - 24:00,37.492736,127.0440774,0,411
삼성서울병원 응급실,서울 강남구 일원로 81,02-3410-0129,매일 00:00 - 24:00,37.4889432,127.0854537,0,411
큰길약국,서울특별시 강남구 강남대로 370,02-553-1517,평일 08:30 - 24:00,37.4958237,127.0270217,2,411
24시 SNC 동물메디컬센터,서울 강남구 논현로 416,02-562-7582,매일 00:00 - 24:00,37.4973714,127.0366766,0,412
혜민동물병원,서울특별시 강남구 테헤란로 8길 37 한동빌딩 1층,02-454-8275,평일 10:00 - 22:00,37.4965278,127.0302492,2,412
닥터멍동물병원,서울특별시 강남구 논현로 515 아승빌딩,02-554-7505,매일 10:00 - 20:00,37.5025159,127.0336103,2,412
예은동물병원,서울특별시 강남구 도곡로 189 정금빌딩,02-529-5575,평일 09:30 - 21:00,37.4923809,127.0378307,2,412
역삼동물병원,서울특별시 강남구 언주로 527,02-556-5252,평일 10:30 - 24:00,37.5054012,127.0388516,2,412
